time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
729088,671,260.68,109.97219999999997,1085,356,0.2,-0.004892815454513766,0.8509852290153503,0.0003,0.0026280712,3550,0.024169921875,44.042572784423825,19.351375579833984,-0.37392515167593954
731136,673,261.95,110.5545,1085,357,0.2,-0.007754340156679973,0.8695828914642334,0.0003,0.0033929707,3560,0.03349609375,49.88921861648559,19.307119369506836,-0.36067100539803504
733184,675,260.12,111.06379999999999,1085,358,0.2,-0.007413231686223298,0.8664604425430298,0.0003,0.0039572055,3570,0.032861328125,43.153960609436034,20.490753173828125,-0.3528710700571537
735232,677,260.51,112.11889999999998,1084,359,0.2,-0.00789519147365354,0.882766604423523,0.0003,0.0034641742,3580,0.035791015625,38.434389162063596,17.294336318969727,-0.34549947157502175
737280,679,260.5,113.804,1084,360,0.2,-0.008381139155244455,0.8380212187767029,0.0003,0.0034204214,3590,0.02763671875,46.32922945022583,18.08322525024414,-0.3476764939725399
739328,681,262.86,114.99340000000001,1084,361,0.2,-0.005954084795666859,0.8501808643341064,0.0003,0.0025315722,3600,0.0265625,48.28091478347778,21.884353637695312,-0.32513323947787287
741376,683,263.22,115.3458,1084,362,0.2,-0.0072922568768262865,0.8617255687713623,0.0003,0.0039568515,3610,0.033349609375,40.87284631729126,17.575658798217773,-0.3572044834494591
743424,685,261.71,113.47990000000001,1083,363,0.2,-0.0064722630544565615,0.8638592958450317,0.0003,0.0032988533,3620,0.027490234375,44.8530592918396,19.26228141784668,-0.32143627777695655
745472,687,260.29,110.9941,1083,364,0.2,-0.00454399807495065,0.8516298532485962,0.0003,0.0026685856,3630,0.020068359375,34.8684965133667,13.239951133728027,-0.34944913536310196
747520,689,261.79,111.29109999999999,1083,365,0.2,-0.006339392985682935,0.8169252872467041,0.0003,0.0031518405,3640,0.0166015625,44.568085479736325,18.205629348754883,-0.3420003890991211
749568,691,263.33,111.4817,1083,366,0.2,-0.008131768892053515,0.8139625787734985,0.0003,0.004937132,3650,0.050048828125,40.31134157180786,16.52958106994629,-0.34038388952612875
751616,693,255.43,109.1407,1083,367,0.2,-0.008929283590987325,0.870333194732666,0.0003,0.0052688275,3660,0.043115234375,32.74831676483154,13.993955612182617,-0.34656377881765366
753664,695,255.84,110.1526,1083,368,0.2,-0.007511964451987296,0.8943340182304382,0.0003,0.0054558245,3670,0.042138671875,31.668260192871095,12.117268562316895,-0.33622763231396674
755712,697,259.61,113.45389999999998,1083,369,0.2,-0.00519845227827318,0.8552625179290771,0.0003,0.0027181483,3680,0.0189453125,44.88292150497436,21.027429580688477,-0.3146474458277225
757760,699,256.86,113.82139999999998,1082,370,0.2,-0.0062501862063072625,0.9175896644592285,0.0003,0.0037206258,3690,0.024853515625,30.120747089385986,11.42765998840332,-0.3471886314451694
759808,702,256.82,111.41680000000001,1082,371,0.2,-0.007008702482562512,0.8762550354003906,0.0003,0.004408675,3700,0.043212890625,40.648084831237796,18.4865665435791,-0.3463989868760109
761856,704,256.4,111.86300000000001,1082,372,0.2,-0.005510543222771958,0.8402674794197083,0.0003,0.0025830516,3710,0.014990234375,48.991867542266846,19.033966064453125,-0.3463716350495815
763904,706,261.64,113.96260000000001,1081,373,0.2,-0.005874315882101655,0.9101659655570984,0.0003,0.0027642152,3720,0.019873046875,26.070158386230467,10.221465110778809,-0.32337989956140517
765952,707,262.52,114.0908,1081,374,0.2,-0.009811231162166223,0.887245237827301,0.0003,0.0061292457,3730,0.049755859375,32.40024375915527,14.605072021484375,-0.3524118408560753
768000,710,266.57,115.64929999999998,1080,375,0.2,-0.006599948395160027,0.8483946323394775,0.0003,0.0029095768,3740,0.02998046875,40.900590896606445,17.596969604492188,-0.34237582683563234
770048,712,265.74,118.03560000000002,1080,376,0.2,-0.007393377309199423,0.8985950350761414,0.0003,0.0045528784,3750,0.035791015625,30.46638116836548,13.005233764648438,-0.3300900675356388
772096,714,262.12,115.1568,1080,377,0.2,-0.010517203772906214,0.9111543893814087,0.0003,0.0051566646,3760,0.04287109375,32.1313560962677,14.476447105407715,-0.32993588224053383
